motor_id,test_cycle,rated_power_W,no_load_rpm,phase_winding_resistance_ohm,phase_imbalance_percent,torque_output_Nm,torque_ripple_percent,hall_sensor_voltage_V,hall_signal_integrity_percent,efficiency_percent,qc_status
MTR_0001,1,1380.42,3318.9,0.287,1.82,4.35,4.38,4.89,99.04,85.02,PASS
MTR_0001,2,1481.86,3234.61,0.34,1.21,4.18,4.6,5.02,99.37,93.41,PASS
MTR_0001,3,1336.96,3393.33,0.377,4.8,3.93,6.17,4.66,96.22,83.32,WARNING
MTR_0001,4,1565.26,3199.86,0.292,1.4,4.99,3.39,5.02,99.72,87.93,PASS
MTR_0001,5,1543.59,3311.51,0.322,1.4,4.4,2.56,4.99,97.54,91.24,PASS
MTR_0001,6,1464.81,3071.38,0.258,1.98,4.45,1.16,4.84,99.03,89.99,PASS
MTR_0001,7,1363.35,3004.68,0.354,4.86,4.0,6.52,4.69,92.29,83.69,WARNING
MTR_0001,8,1401.53,3301.77,0.309,2.65,4.63,3.84,5.22,97.22,86.64,PASS
MTR_0001,9,1378.53,3042.05,0.374,4.66,4.0,6.04,4.67,93.56,84.09,WARNING
MTR_0001,10,1406.23,3195.02,0.327,3.4,4.39,2.05,4.96,99.05,89.88,PASS
MTR_0001,11,1430.97,3220.49,0.317,3.46,4.5,1.46,4.88,99.19,93.99,PASS
MTR_0001,12,1424.35,3118.21,0.314,0.73,5.02,2.0,5.15,97.53,92.0,PASS
MTR_0001,13,1556.32,3146.64,0.271,1.58,4.23,1.92,5.07,99.93,94.78,PASS
MTR_0001,14,1508.24,3217.58,0.332,0.92,4.63,1.95,4.76,99.53,85.2,PASS
MTR_0001,15,1216.98,2541.41,0.628,9.43,3.13,8.23,5.99,61.71,58.67,FAIL
MTR_0001,16,1519.68,3288.88,0.271,0.58,4.64,2.41,4.92,99.65,93.21,PASS
MTR_0001,17,1557.54,3186.02,0.344,1.4,4.07,1.97,4.83,97.51,85.29,PASS
MTR_0001,18,1594.06,3079.03,0.263,1.34,4.68,2.26,5.22,98.46,89.02,PASS
MTR_0001,19,1450.37,3347.53,0.299,2.55,4.3,2.92,4.89,97.35,88.71,PASS
MTR_0001,20,1569.71,3151.72,0.343,1.69,4.28,1.54,5.22,99.08,91.43,PASS
MTR_0001,21,1365.21,3365.43,0.37,3.78,3.93,6.42,5.31,94.8,83.86,WARNING
