battery_id,test_cycle,nominal_voltage_V,internal_resistance_mOhm,capacity_mAh,SOH_percent,temperature_delivery_C,self_discharge_rate_percent_per_month,qc_status
BAT_0001,1,3.758,22.74,2519.78,99.94,31.64,1.59,PASS
BAT_0001,2,3.647,23.16,2426.05,98.52,17.91,1.84,PASS
BAT_0001,3,3.682,21.72,2463.42,97.89,18.07,1.9,PASS
BAT_0001,4,3.673,22.31,2423.27,98.2,18.47,0.97,PASS
BAT_0001,5,3.68,25.28,2519.36,98.96,18.81,1.54,PASS
BAT_0001,6,3.671,28.25,2482.24,97.69,20.0,1.15,PASS
BAT_0001,7,3.66,25.47,2515.55,99.2,23.17,1.89,PASS
BAT_0001,8,3.693,26.22,2473.57,97.55,26.19,1.52,PASS
BAT_0001,9,3.737,29.25,2378.68,97.53,34.71,1.71,PASS
BAT_0001,10,3.716,29.59,2498.95,99.19,18.17,1.54,PASS
BAT_0001,11,3.621,31.5,2320.68,93.89,37.66,2.59,WARNING
BAT_0001,12,3.712,22.77,2409.62,98.14,25.18,1.39,PASS
BAT_0001,13,3.881,42.15,1928.19,90.29,56.86,5.94,FAIL
BAT_0001,14,3.633,20.16,2508.19,98.03,15.42,1.99,PASS
BAT_0001,15,3.716,27.68,2523.22,98.87,28.81,0.84,PASS
BAT_0001,16,3.627,30.55,2368.91,96.96,40.07,2.36,WARNING
BAT_0001,17,3.7,28.0,2417.74,97.7,17.32,1.79,PASS
BAT_0001,18,3.611,32.22,2350.22,96.36,41.02,2.37,WARNING
BAT_0001,19,3.894,49.33,1855.06,84.8,6.34,3.38,FAIL
BAT_0001,20,3.715,26.99,2499.52,99.31,25.37,1.59,PASS
BAT_0001,21,3.736,23.46,2420.21,97.27,30.45,1.76,PASS
BAT_0001,22,3.618,31.87,2320.95,95.46,38.07,2.6,WARNING
BAT_0001,23,3.683,20.11,2469.49,98.32,21.43,1.33,PASS
BAT_0001,24,3.654,22.98,2539.93,98.04,22.44,1.78,PASS
BAT_0001,25,3.656,20.58,2380.39,99.22,27.87,1.5,PASS
BAT_0001,26,3.617,32.09,2305.37,95.57,38.39,2.19,WARNING
BAT_0001,27,3.726,23.49,2430.01,98.07,30.41,1.59,PASS
BAT_0001,28,3.702,20.29,2414.52,98.01,25.83,1.8,PASS
BAT_0001,29,3.75,28.12,2413.51,99.36,25.99,1.68,PASS
BAT_0001,30,3.701,25.08,2455.78,97.99,22.32,1.69,PASS
BAT_0001,31,3.619,30.93,2325.37,94.86,38.93,2.32,WARNING
BAT_0001,32,3.725,26.9,2440.31,98.38,23.21,0.85,PASS
BAT_0001,33,3.617,33.88,2374.7,96.83,39.09,2.4,WARNING
BAT_0001,34,3.734,22.88,2498.24,98.51,32.32,0.87,PASS
BAT_0001,35,3.678,21.28,2438.92,97.32,26.77,1.74,PASS
BAT_0001,36,3.702,27.58,2419.71,98.17,24.76,1.59,PASS
BAT_0001,37,3.708,23.9,2541.61,99.48,33.37,1.14,PASS
BAT_0001,38,3.726,29.13,2477.73,97.84,17.84,1.85,PASS
BAT_0001,39,3.728,27.45,2519.21,99.5,15.15,1.64,PASS
BAT_0001,40,3.695,22.75,2429.56,98.6,15.24,1.45,PASS
BAT_0001,41,3.687,29.18,2378.86,99.69,20.28,1.53,PASS
BAT_0001,42,3.604,34.4,2374.69,95.29,42.99,2.32,WARNING
BAT_0001,43,3.611,33.5,2306.32,94.57,40.08,2.7,WARNING
BAT_0001,44,3.312,44.69,2230.46,74.52,5.85,4.64,FAIL
BAT_0001,45,3.419,49.48,1886.49,91.64,51.92,4.1,FAIL
BAT_0001,46,3.717,28.86,2502.8,98.77,22.19,1.35,PASS
BAT_0001,47,3.447,52.34,1911.6,76.81,4.72,3.74,FAIL
BAT_0001,48,3.608,32.63,2362.74,95.86,44.84,2.9,WARNING
BAT_0001,49,3.753,29.67,2420.35,98.12,33.91,1.25,PASS
BAT_0001,50,3.715,24.69,2492.19,97.29,31.16,1.26,PASS
BAT_0002,1,3.728,22.75,2479.26,97.07,23.09,1.8,PASS
BAT_0002,2,3.696,22.66,2479.19,99.79,31.91,1.38,PASS
BAT_0002,3,3.618,30.11,2308.32,94.6,38.63,2.67,WARNING
BAT_0002,4,3.718,29.24,2381.42,98.41,31.09,0.88,PASS
BAT_0002,5,3.654,29.65,2444.29,98.45,22.66,1.49,PASS
BAT_0002,6,3.712,21.24,2524.27,98.91,28.16,1.67,PASS
BAT_0002,7,3.488,36.12,1972.36,73.59,57.24,4.45,FAIL
BAT_0002,8,3.762,27.35,2378.29,99.5,18.8,1.56,PASS
BAT_0002,9,3.621,33.66,2372.29,94.08,42.97,2.05,WARNING
BAT_0002,10,3.617,32.14,2302.58,93.71,40.55,2.14,WARNING
BAT_0002,11,3.873,45.08,1929.69,77.21,52.86,4.75,FAIL
BAT_0002,12,3.675,25.66,2434.74,99.72,23.95,1.31,PASS
BAT_0002,13,3.662,26.25,2432.12,98.22,29.03,0.91,PASS
BAT_0002,14,3.347,43.0,2260.81,91.34,49.16,3.76,FAIL
BAT_0002,15,3.604,31.82,2366.11,94.86,40.05,2.87,WARNING
BAT_0002,16,3.681,23.3,2414.64,99.91,27.93,0.83,PASS
BAT_0002,17,3.632,29.05,2426.72,99.06,22.18,0.85,PASS
BAT_0002,18,3.609,31.27,2360.91,94.29,43.76,2.61,WARNING
BAT_0002,19,3.83,48.85,2153.31,77.19,54.24,5.11,FAIL
BAT_0002,20,3.354,38.24,2241.53,74.88,53.04,4.97,FAIL
BAT_0002,21,3.738,28.85,2381.84,98.51,22.36,1.39,PASS
BAT_0002,22,3.715,21.33,2462.58,99.17,26.05,1.27,PASS
BAT_0002,23,3.755,20.71,2392.03,99.54,34.54,1.25,PASS
BAT_0002,24,3.72,22.27,2434.99,97.01,24.68,1.51,PASS
BAT_0002,25,3.638,28.05,2453.1,97.6,34.13,1.7,PASS
