Chassis_ID,Inspection_No,Inspection_Date,Weld_Quality_Score,Weld_Status,Frame_Weight_kg,Frame_Weight_Status,Dimensional_Deviation_mm,Dimensional_Grade,Dimensional_Status,Material_Grade,Hardness_BHN,Material_Status,Surface_Defect_Count,Surface_Defect_Status,Static_Load_Capacity_kg,Permanent_Deformation,Load_Test_Status,Overall_QC_Status
CHS-00001,1,2025-01-01 00:00:00,91.1,Pass,81.3,Fail,0.221,Grade B,Pass,HSLA-340,202.9,Pass,5,Pass,467.9,No,Pass,Warning
CHS-00001,2,2025-01-01 00:10:00,95.8,Pass,83.19,Pass,0.232,Grade B,Pass,E350,158.6,Pass,5,Pass,548.3,No,Pass,Pass
CHS-00001,3,2025-01-01 00:20:00,80.1,Warning,83.37,Pass,0.233,Grade B,Pass,E350,167.7,Pass,4,Pass,519.5,No,Pass,Pass
CHS-00001,4,2025-01-01 00:30:00,98.0,Pass,84.84,Pass,0.123,Grade A,Pass,HSLA-340,174.7,Pass,2,Pass,451.1,No,Pass,Pass
CHS-00001,5,2025-01-01 00:40:00,90.7,Pass,87.76,Warning,0.32,Grade B,Pass,HSLA-340,174.2,Pass,5,Pass,530.9,No,Pass,Pass
CHS-00001,6,2025-01-01 00:50:00,89.4,Pass,82.23,Warning,0.54,Grade C,Warning,HSLA-420,223.7,Pass,4,Pass,517.8,No,Pass,Warning
CHS-00001,7,2025-01-01 01:00:00,95.7,Pass,83.02,Pass,0.326,Grade B,Pass,E350,166.3,Pass,2,Pass,500.2,No,Pass,Pass
CHS-00001,8,2025-01-01 01:10:00,99.2,Pass,86.63,Pass,0.269,Grade B,Pass,HSLA-340,178.0,Pass,0,Pass,453.2,No,Pass,Pass
CHS-00001,9,2025-01-01 01:20:00,99.6,Pass,83.87,Pass,0.533,Grade C,Warning,HSLA-420,201.7,Pass,5,Pass,419.5,No,Fail,Warning
CHS-00001,10,2025-01-01 01:30:00,87.8,Pass,89.34,Fail,0.233,Grade B,Pass,IS2062-E250,140.6,Pass,4,Pass,491.4,No,Pass,Warning
CHS-00001,11,2025-01-01 01:40:00,85.7,Pass,82.14,Warning,0.091,Grade A,Pass,E350,181.0,Pass,1,Pass,531.5,No,Pass,Pass
CHS-00001,12,2025-01-01 01:50:00,95.9,Pass,86.42,Pass,0.316,Grade B,Pass,HSLA-340,202.4,Pass,3,Pass,414.3,Yes,Fail,Warning
CHS-00001,13,2025-01-01 02:00:00,84.5,Warning,88.26,Warning,0.107,Grade A,Pass,HSLA-340,182.5,Pass,0,Pass,544.9,No,Pass,Warning
CHS-00001,14,2025-01-01 02:10:00,89.3,Pass,86.61,Pass,0.332,Grade B,Pass,E350,171.9,Pass,5,Pass,543.9,No,Pass,Pass
CHS-00001,15,2025-01-01 02:20:00,95.7,Pass,83.25,Pass,0.585,Reject,Fail,HSLA-340,172.5,Pass,2,Pass,543.3,No,Pass,Warning
CHS-00001,16,2025-01-01 02:30:00,99.9,Pass,84.96,Pass,0.22,Grade B,Pass,E350,155.4,Pass,6,Warning,475.7,No,Pass,Pass
CHS-00001,17,2025-01-01 02:40:00,92.6,Pass,85.36,Pass,0.318,Grade B,Pass,IS2062-E250,157.4,Pass,3,Pass,455.0,No,Pass,Pass
CHS-00001,18,2025-01-01 02:50:00,98.8,Pass,86.27,Pass,0.208,Grade B,Pass,IS2062-E250,152.6,Pass,11,Fail,539.0,No,Pass,Warning
CHS-00001,19,2025-01-01 03:00:00,86.1,Pass,84.15,Pass,0.345,Grade B,Pass,HSLA-420,215.7,Pass,5,Pass,530.8,No,Pass,Pass
CHS-00001,20,2025-01-01 03:10:00,99.0,Pass,86.94,Pass,0.31,Grade B,Pass,HSLA-340,189.8,Pass,7,Warning,525.5,No,Pass,Pass
CHS-00001,21,2025-01-01 03:20:00,78.6,Fail,84.79,Pass,0.258,Grade B,Pass,E350,184.5,Pass,1,Pass,529.9,No,Pass,Warning
CHS-00001,22,2025-01-01 03:30:00,74.3,Fail,84.29,Pass,0.087,Grade A,Pass,IS2062-E250,118.5,Pass,7,Warning,522.7,No,Pass,Warning
CHS-00001,23,2025-01-01 03:40:00,85.5,Pass,83.58,Pass,0.34,Grade B,Pass,HSLA-340,176.0,Pass,8,Warning,473.0,No,Pass,Pass
CHS-00001,24,2025-01-01 03:50:00,88.4,Pass,86.26,Pass,0.087,Grade A,Pass,E350,161.9,Pass,0,Pass,467.3,No,Pass,Pass
